ibi,EigDiffFromRef,TotEDiffFromRef
1551,-1.168,1.1168
1552,-1.168,1.1166
1553,-1.168,1.0655
1554,-1.0532,1.0445
1555,-1.0522,1.0223
1557,-0.9956,1.0062
1568,-0.9682,0.9242
1572,-0.9332,0.899
1575,-0.9257,0.8843
1576,-0.9257,0.8121
1577,-0.8,0.7992
1579,-0.799,0.7752
1580,-0.799,0.7505
1582,-0.758,0.7298
1585,-0.7278,0.6971
1586,-0.7278,0.6479
1587,-0.6461,0.6392
1588,-0.6461,0.6214
1590,-0.6461,0.6061
1591,-0.6027,0.5863
1595,-0.575,0.5555
1596,-0.575,0.5555
1597,-0.575,0.5401
1598,-0.575,0.5188
1599,-0.3591,0.3885
1600,-0.3591,0.3582
1605,-0.2736,0.2904
1606,-0.2736,0.2722
1607,-0.2727,0.2523
1610,-0.2448,0.2135
1611,-0.0307,0.0327
1612,-0.0009,0.018
1613,0,0
